date,revenue,marketing_spend,website_traffic,ad_clicks,conversion_rate,discount_rate,returns_pct,support_tickets,customer_satisfaction,churn_rate,employee_count,avg_temperature_c
2024-02-18,28873.25,3550.83,7940.0,3574.0,0.0189,0.0628,0.0401,47.0,4.26,0.0677,61.0,29.5
2024-08-20,38165.59,2902.92,5923.0,2322.0,0.0352,0.1113,0.0547,57.0,4.15,0.062,59.0,15.2
2024-02-16,29217.69,3607.91,7119.0,2737.0,0.0218,0.0755,0.0481,49.0,4.17,0.063,63.0,28.3
2024-12-17,35044.0,3339.63,7390.0,2867.0,0.0262,0.1313,0.063,58.0,4.15,0.0542,60.0,19.7
2024-04-12,35550.54,,6555.0,2655.0,0.0297,0.0938,0.0571,53.0,4.17,0.0554,58.0,28.9
2025-09-24,31919.71,2714.01,4999.0,2115.0,0.0336,0.1279,0.0507,60.0,4.02,0.0679,67.0,13.4
2024-04-13,26794.58,3691.27,7840.0,3155.0,0.0194,0.1265,0.0666,56.0,3.62,0.0608,59.0,29.4
2024-02-09,41561.8,3491.98,9131.0,3693.0,0.0242,0.1473,0.0851,55.0,4.22,0.0579,58.0,29.7
2025-01-24,36834.23,2820.05,5785.0,2509.0,0.0353,0.0939,0.0689,55.0,4.03,0.0634,61.0,26.2
2025-03-24,34599.82,3964.98,8930.0,3694.0,0.021,0.1153,0.0732,57.0,4.04,0.0595,61.0,29.0
2024-03-26,14100.27,3602.08,8233.0,3429.0,0.0097,0.0844,0.0549,64.0,3.82,0.076,60.0,30.2
2025-12-28,43368.47,3535.29,7936.0,3277.0,0.03,0.0954,0.0496,49.0,3.96,0.0642,67.0,23.3
2024-12-25,36031.96,3049.04,6767.0,2811.0,0.0295,0.1408,0.0688,68.0,3.94,0.0671,63.0,23.0
2025-02-14,39475.51,2923.63,8138.0,3522.0,0.0266,0.1086,0.0407,58.0,3.98,0.075,62.0,26.8
2025-12-08,23156.35,3320.96,5113.0,1942.0,0.0251,0.0873,0.0432,51.0,4.34,0.0583,64.0,20.7
2024-03-22,27225.23,3194.45,6788.0,2952.0,0.0217,0.1245,0.0631,63.0,4.23,0.0588,59.0,32.0
2024-09-03,35888.97,2359.84,6631.0,2731.0,0.0305,0.0521,0.0328,34.0,4.38,0.0561,62.0,12.5
2025-10-22,32975.62,2297.18,5097.0,2208.0,0.0344,0.1114,0.0591,67.0,4.12,0.0612,61.0,12.1
2024-11-19,49616.28,3126.21,9083.0,3697.0,0.03,0.1595,0.0785,72.0,3.81,0.0735,63.0,14.1
2025-07-24,32398.24,2572.56,6173.0,2750.0,0.0295,0.1568,,62.0,4.24,0.0531,66.0,19.3
2025-06-23,31817.34,3001.13,7377.0,3364.0,0.0229,0.1743,0.0907,68.0,3.91,0.0697,64.0,22.3
2024-08-18,34960.36,2288.71,6913.0,2839.0,0.0277,0.0829,0.05,57.0,3.87,0.0641,61.0,13.1
2024-10-21,26955.91,2658.29,4599.0,2063.0,0.031,0.1433,0.0729,64.0,4.07,0.0622,62.0,12.7
2024-06-04,23629.39,3863.79,8686.0,3712.0,0.0155,0.0081,0.0265,47.0,3.91,0.0525,62.0,24.3
2024-06-26,27194.7,3165.44,6176.0,2711.0,0.0248,0.1081,0.0625,53.0,3.84,0.0713,62.0,23.0
2025-07-12,45114.36,2718.32,7996.0,3428.0,0.0301,0.1393,0.0757,58.0,3.87,0.0624,64.0,21.5
2025-06-17,33242.17,3472.76,7393.0,3221.0,0.024,0.1825,0.073,76.0,3.86,0.0733,65.0,24.6
2025-03-23,32164.12,3457.38,7842.0,3311.0,0.0226,0.1286,0.0626,63.0,3.83,0.0705,65.0,33.9
2025-06-14,37939.3,3206.45,8071.0,3437.0,0.0266,0.1422,0.062,55.0,4.14,0.0703,68.0,26.2
2024-10-30,32803.36,2655.17,6667.0,2673.0,0.0284,0.0857,0.0438,61.0,3.98,0.0644,62.0,16.6
2025-09-27,37055.32,2754.86,6760.0,2933.0,0.03,0.1592,0.0715,68.0,3.79,0.0633,63.0,9.1
2025-02-16,24913.23,3215.52,5687.0,2314.0,0.0255,0.0772,0.0543,50.0,,0.0586,66.0,30.7
2024-02-01,33553.55,3073.5,7541.0,3164.0,0.0242,0.1197,0.0605,35.0,4.62,0.0539,65.0,25.1
2025-12-27,54082.08,3358.37,9385.0,3927.0,0.0307,0.047,0.0454,61.0,4.17,0.0612,67.0,21.4
2024-01-11,32608.28,3380.26,8386.0,3535.0,0.022,0.1005,0.057,58.0,4.17,0.0507,58.0,22.8
2024-06-24,50479.55,3182.72,8877.0,3859.0,0.0321,0.091,0.0681,63.0,3.82,0.0696,63.0,22.6
2025-05-16,21763.13,3802.42,7446.0,3051.0,0.0158,0.1509,0.0755,57.0,3.9,0.0722,66.0,29.6
2025-08-07,34281.51,3250.76,7804.0,3112.0,0.0238,0.143,0.0636,64.0,3.95,0.0765,62.0,16.9
2024-12-08,,3006.26,6728.0,2789.0,0.0289,0.0893,0.0508,69.0,3.62,0.0748,60.0,18.7
2024-07-05,43813.29,3115.32,8257.0,3453.0,0.0289,0.1202,0.0314,43.0,4.18,0.0595,62.0,19.8
2024-02-28,29582.49,3056.26,6135.0,2539.0,0.0272,0.095,0.0393,60.0,4.07,0.0608,58.0,30.2
2025-12-09,27913.88,3054.68,6001.0,2432.0,0.024,0.0843,0.0352,54.0,3.63,0.066,65.0,17.8
2025-04-17,31709.88,3475.25,8092.0,3295.0,0.0219,0.065,0.0631,71.0,3.9,0.0536,63.0,29.6
2024-01-15,39164.53,3264.63,7456.0,3108.0,0.0297,0.0941,0.0413,48.0,3.99,0.0642,59.0,23.4
2024-06-12,35907.5,2910.2,6769.0,2984.0,0.0297,0.0914,0.0423,57.0,4.12,0.055,60.0,24.1
2025-06-02,32331.75,3718.07,8055.0,3572.0,0.022,0.0967,0.0569,62.0,4.15,0.0677,65.0,26.6
2025-08-17,39503.79,2504.11,6190.0,2644.0,0.0345,0.1078,0.0533,48.0,4.17,0.0626,68.0,13.9
2025-09-25,3455611.0,2177.57,6109.0,2664.0,0.0321,0.0838,,65.0,3.8,0.0684,63.0,14.0
2025-12-30,42150.49,2889.44,6987.0,3000.0,0.0328,0.0536,0.0449,42.0,3.99,0.0655,66.0,20.7
2024-05-03,29577.32,3866.95,8485.0,3479.0,0.0196,0.1191,0.0697,77.0,3.82,0.0714,61.0,31.3
2024-03-19,20786.67,3639.71,7796.0,3163.0,0.0142,0.1099,0.0527,57.0,4.1,0.0577,58.0,27.1
2024-08-27,43538.63,2580.39,6172.0,2617.0,0.0395,0.0746,0.052,55.0,3.83,0.0652,61.0,15.6
2024-07-25,28846.36,2630.73,5315.0,2259.0,0.0299,0.0598,0.046,60.0,4.13,0.0584,58.0,17.8
2024-09-20,38467.18,2517.89,7084.0,3206.0,0.0295,0.0538,0.0386,47.0,4.39,0.0523,61.0,13.4
2025-04-12,17743.29,4258.4,8424.0,3416.0,0.0116,0.1341,0.0732,58.0,3.97,0.0606,61.0,33.9
2024-08-17,26584.97,2704.7,6695.0,2917.0,0.0216,0.1104,0.0543,65.0,3.81,0.077,65.0,16.0
2025-09-28,38507.62,2788.53,5618.0,2464.0,0.0375,0.075,0.0369,37.0,4.22,0.0694,64.0,12.7
2024-04-17,32815.29,3309.66,8599.0,3631.0,0.0219,0.0555,0.0289,58.0,3.89,0.0643,60.0,31.7
2025-05-03,22292.05,3240.08,6376.0,2573.0,0.0185,0.0647,0.0642,62.0,4.13,0.072,63.0,29.9
2024-07-07,41276.29,2559.41,7198.0,3002.0,0.0326,0.0888,0.0575,62.0,4.11,0.0738,61.0,22.4
2024-07-20,38657.86,3448.68,8066.0,3256.0,0.0263,0.074,0.0539,48.0,4.11,0.0758,57.0,19.1
2024-08-23,32919.03,2551.48,5001.0,2150.0,0.037,0.102,0.0723,56.0,,0.0675,63.0,15.3
2024-05-06,28895.01,3893.43,8777.0,3405.0,0.0179,0.0683,0.0514,48.0,4.0,0.0633,62.0,29.2
2025-04-11,30197.16,3478.52,6779.0,2777.0,0.0243,0.1394,0.0778,67.0,3.67,0.0734,65.0,32.4
2024-11-25,29705.22,2716.62,6746.0,2955.0,0.024,0.1271,0.07,65.0,4.26,0.0523,62.0,16.9
2024-08-31,39967.58,2239.06,6024.0,2251.0,0.036,0.063,0.0505,49.0,3.94,0.0594,61.0,15.2
2024-02-15,26579.86,3374.17,7736.0,3309.0,0.0201,0.0724,0.0526,49.0,4.34,0.0634,57.0,27.0
2025-07-09,42801.27,3065.62,7218.0,3051.0,0.032,0.091,0.0452,53.0,4.03,0.0676,63.0,22.7
2024-05-07,39356.69,2961.69,7171.0,3125.0,0.03,0.1161,0.0506,58.0,4.01,0.0621,60.0,26.7
2024-04-15,34718.55,3359.06,6831.0,2793.0,0.0281,0.0826,0.0425,47.0,3.86,0.0633,60.0,31.7
2024-04-11,43020.03,3889.59,9750.0,4112.0,0.0237,0.0779,0.0468,60.0,3.78,0.0714,64.0,30.6
2024-04-19,32822.44,2820.66,6308.0,2459.0,0.0286,0.0375,0.0299,54.0,4.54,0.0675,61.0,32.9
2024-10-11,27910.54,2330.93,4860.0,2122.0,0.0311,0.1139,0.0851,68.0,3.88,0.0643,64.0,12.2
2025-03-27,32044.81,3700.64,8845.0,3776.0,0.0206,0.106,0.0376,71.0,4.11,0.0706,64.0,31.1
2024-06-08,31899.62,2806.99,5189.0,2088.0,0.0329,0.1141,0.0668,54.0,3.85,0.0568,61.0,25.9
2025-02-03,29868.12,3132.37,5460.0,2126.0,0.0292,0.1021,0.0561,60.0,3.92,0.0727,64.0,28.7
2024-11-23,43326.14,2862.75,6982.0,2741.0,0.0351,0.0911,0.0484,54.0,3.66,0.0629,59.0,19.2
2025-01-08,44945.17,3497.01,8210.0,3498.0,0.0298,0.046,0.0218,58.0,4.05,0.0664,62.0,24.1
2024-07-13,38314.51,2612.36,6069.0,2521.0,0.0346,0.103,0.0665,72.0,3.83,0.0654,59.0,21.6
2025-05-29,34838.59,3702.51,9000.0,3619.0,0.0218,0.0921,0.0437,49.0,4.34,0.0651,63.0,29.2
2024-05-25,27248.07,3153.82,5610.0,2519.0,0.0268,0.094,0.041,42.0,4.27,0.0541,63.0,25.6
2025-10-06,39645.08,2740.91,6414.0,2660.0,0.0326,0.1026,0.0517,49.0,4.21,0.0561,65.0,12.9
2025-02-28,25364.87,3197.62,7814.0,3041.0,0.0186,0.0574,0.0355,54.0,4.07,0.0682,63.0,29.2
2025-02-04,25166.0,3322.26,6765.0,2920.0,0.0214,0.1311,0.0624,62.0,4.15,0.064,62.0,27.2
2024-06-19,45948.58,2925.02,7077.0,2826.0,0.035,0.1336,0.0767,51.0,3.84,0.0591,62.0,24.5
2025-09-20,36856.45,2494.38,5662.0,2302.0,0.0361,0.0868,0.0422,38.0,4.61,0.0498,61.0,14.1
2024-08-04,38830.55,3057.5,7272.0,3173.0,0.0286,0.1146,0.0565,73.0,3.79,0.0576,63.0,17.4
2025-11-11,24591.92,3252.47,7019.0,2937.0,0.0181,0.1643,0.067,69.0,4.07,0.0581,63.0,13.1
2024-08-03,23465.0,3225.53,7021.0,2755.0,0.0192,0.0618,0.0503,68.0,4.02,0.0581,61.0,16.6
2024-04-21,28008.5,3504.89,7837.0,3265.0,0.0194,0.1266,0.0553,41.0,4.29,0.0515,59.0,32.1
2025-07-07,20813.22,3898.26,9154.0,3843.0,0.0119,0.1742,0.0863,68.0,3.92,0.0683,61.0,19.4
2025-05-06,32504.27,3656.53,9114.0,3857.0,0.0205,0.2209,0.0991,80.0,3.82,0.0635,61.0,28.1
2024-05-23,33264.95,3402.93,7676.0,3053.0,0.0238,0.1253,0.0646,71.0,4.0,0.0604,59.0,27.5
2025-12-29,38855.01,2874.95,8103.0,3645.0,0.0252,0.0835,0.0466,54.0,4.0,0.0652,66.0,21.1
2025-06-05,45341.99,3076.12,8250.0,3398.0,0.0301,0.1212,0.0631,71.0,4.17,0.0524,66.0,26.4
2024-10-10,31772.27,2877.1,5355.0,2092.0,0.0316,0.1385,0.0615,52.0,4.04,0.0566,59.0,11.9
2024-02-07,35443.37,2958.5,6380.0,2542.0,0.0307,0.115,0.0634,53.0,3.97,0.0651,58.0,25.7
2025-05-28,37962.64,3400.9,7197.0,3226.0,0.0287,0.0529,0.0302,36.0,4.15,0.068,65.0,28.5
2024-04-16,46565.69,3097.19,6814.0,2722.0,0.0373,0.093,0.0695,55.0,4.18,0.0615,57.0,29.1
2025-12-10,43423.81,3365.63,8455.0,3477.0,0.0276,0.1684,0.0992,73.0,3.73,0.076,62.0,19.6
2024-04-05,36498.34,2930.71,6799.0,2780.0,0.0301,0.0872,0.0556,55.0,3.88,0.0653,61.0,28.7
2025-10-18,39622.97,2574.85,7134.0,3004.0,0.03,0.1091,0.0653,56.0,4.03,0.0569,65.0,11.4
2025-01-28,33978.55,3501.76,7615.0,3279.0,0.0243,0.0495,0.0439,47.0,4.4,0.0617,64.0,27.9
2025-08-21,32131.86,3020.05,6837.0,2799.0,0.0255,0.078,0.0586,59.0,4.13,0.0549,64.0,14.9
2025-02-08,23393.63,3591.33,7832.0,3324.0,0.0157,0.12,0.0627,56.0,4.27,0.0696,63.0,28.0
2024-05-14,21658.52,2835.73,6050.0,2586.0,0.0201,0.1639,0.0783,72.0,4.08,0.0578,59.0,32.0
2025-03-09,29439.45,2899.97,5514.0,2057.0,0.0298,0.087,0.0501,45.0,4.62,0.0545,61.0,29.9
2024-12-02,30263.65,2706.62,5514.0,2277.0,0.0307,0.0607,0.0499,42.0,4.06,0.0579,66.0,16.8
2025-05-05,35098.23,3911.48,8505.0,3579.0,0.0238,0.0949,0.0413,66.0,4.16,0.069,63.0,28.7
2025-06-12,45592.57,3435.69,9076.0,3715.0,0.0278,0.0265,0.0241,50.0,3.96,0.0646,66.0,24.8
2025-02-10,41091.8,3379.25,7632.0,3180.0,0.0292,0.1303,0.0524,56.0,3.91,0.0697,67.0,28.9
2024-06-29,23073.96,3547.16,7283.0,2883.0,0.0181,0.0661,0.0496,59.0,4.0,0.0692,63.0,22.4
2025-09-11,,3379.39,7496.0,3038.0,0.0187,0.0936,0.0438,42.0,,0.0568,69.0,13.1
2025-11-24,48554.53,2248.57,6668.0,2672.0,0.0401,0.083,0.0463,63.0,4.21,0.0594,62.0,16.1
2024-02-23,42155.57,3225.54,8021.0,3129.0,0.0295,0.0727,0.0492,56.0,4.22,0.0641,61.0,27.3
2024-11-26,32471.08,3432.97,7556.0,2975.0,0.0228,0.1115,0.0633,59.0,4.21,0.0555,65.0,15.6
2025-10-01,52404.74,3039.18,7738.0,3435.0,0.0376,0.1145,0.0689,60.0,3.96,0.0658,66.0,13.1
2025-11-27,43900.8,2242.57,6196.0,2642.0,0.0376,0.0687,0.0482,47.0,3.95,0.0624,69.0,18.9
2024-05-31,38366.68,2904.96,7487.0,3114.0,0.0282,0.0738,0.0487,62.0,4.12,0.07,59.0,24.2
2024-07-16,40437.23,2842.78,6948.0,2707.0,0.0322,0.1959,0.0642,57.0,4.11,0.063,62.0,17.8
2024-06-06,25242.88,3577.43,7594.0,2976.0,0.0195,0.1056,0.06,42.0,4.42,0.0574,60.0,24.2
2025-07-23,35029.29,3151.21,6400.0,2631.0,0.03,0.0865,0.0587,64.0,3.86,0.0696,64.0,18.4
2025-05-27,43929.29,3471.1,9095.0,3832.0,0.0266,0.1187,0.0505,60.0,4.31,0.0595,62.0,26.8
2024-09-04,32774.76,3383.9,7261.0,3081.0,0.0253,0.1627,0.0848,65.0,4.06,0.0638,61.0,13.5
2025-07-13,43391.38,2836.44,7265.0,3108.0,0.0326,0.088,0.0413,57.0,4.14,0.0597,66.0,16.9
2025-07-11,33507.81,2798.98,6520.0,2659.0,0.0281,0.1311,0.0492,53.0,3.88,0.062,64.0,19.5
2024-05-12,37386.96,3581.06,7899.0,3297.0,0.0268,0.0669,0.0561,63.0,3.94,0.0579,64.0,27.1
2025-07-30,21341.0,3512.0,7024.0,2895.0,0.0156,0.1139,0.0607,70.0,4.1,0.0731,63.0,20.5
2024-11-22,36007.63,2330.17,5814.0,2575.0,0.0347,0.1109,0.0631,54.0,4.16,0.0631,63.0,13.1
2025-05-01,34978.66,3271.38,5940.0,2405.0,0.0315,0.1484,0.0629,57.0,4.01,0.0805,63.0,26.9
2024-11-18,35845.54,3267.84,7470.0,2845.0,0.0262,0.1082,0.0397,43.0,4.18,0.054,62.0,17.2
2024-07-04,19956.08,3595.18,8897.0,3743.0,0.0123,0.1099,0.0596,70.0,3.97,0.0683,62.0,22.2
2025-07-31,49303.1,3475.45,8742.0,3791.0,0.0303,0.1683,0.0576,68.0,3.9,0.0699,65.0,15.7
2025-07-22,33665.05,3283.42,6484.0,2748.0,0.0282,0.1602,0.0758,65.0,3.78,0.0881,66.0,19.2
2024-05-22,42649.0,2567.92,6702.0,2966.0,0.0334,0.0869,0.049,68.0,3.89,0.0678,62.0,27.3
2025-04-01,38768.74,3959.07,8373.0,3443.0,0.025,0.0153,0.0052,52.0,3.89,0.0744,64.0,30.8
2024-04-18,32025.44,3720.94,9668.0,4148.0,0.0188,0.1139,0.0641,66.0,4.1,0.0668,55.0,31.3
2025-12-13,33598.04,2797.36,5423.0,2242.0,0.0341,0.0871,0.0371,52.0,4.04,0.0719,66.0,16.9
2024-12-20,31521.69,3438.64,7778.0,3287.0,0.0234,0.15,0.0686,53.0,4.0,0.0648,64.0,19.9
2024-03-02,30212.63,3254.03,6357.0,2340.0,0.0251,0.1234,0.0416,52.0,4.03,0.0624,60.0,35.8
2024-07-30,44241.02,2432.58,6588.0,2575.0,0.0376,0.125,0.0792,52.0,4.02,0.0645,59.0,16.3
2024-07-11,29851.96,2878.45,6777.0,2911.0,0.0231,0.1104,0.0617,66.0,4.16,0.0609,N/A,19.2
2024-11-10,37064.93,3106.69,6482.0,2857.0,0.0318,0.0916,0.0509,61.0,4.25,0.0598,59.0,12.3
2024-09-27,29084.31,2456.37,5874.0,2456.0,0.0284,0.1113,0.0495,65.0,3.91,0.077,57.0,14.7
2025-03-29,19538.19,4307.39,9760.0,3749.0,0.0111,0.1648,0.0696,50.0,4.02,0.0694,63.0,32.7
2024-10-15,38582.53,2624.59,5955.0,2442.0,0.0348,0.1024,0.0744,48.0,4.31,0.0737,60.0,16.3
2024-03-14,34013.45,3583.52,8254.0,3327.0,0.0214,0.1319,0.0702,85.0,3.73,0.0628,59.0,32.6
2025-11-23,39103.23,3364.05,7868.0,3203.0,0.0274,0.0972,0.0731,68.0,4.09,0.0704,71.0,17.0
2025-05-20,36327.33,3280.77,6771.0,2902.0,0.029,0.0804,0.0447,50.0,4.28,0.0472,66.0,27.2
2025-02-20,24874.03,3854.14,8816.0,3790.0,0.0155,0.0712,0.0484,58.0,3.85,0.0606,66.0,31.0
2024-03-08,40712.23,3230.5,8162.0,3408.0,0.0267,0.1156,0.0606,69.0,3.78,0.0695,61.0,29.4
2024-03-05,29600.3,3631.19,6607.0,2724.0,0.0258,0.0726,0.0464,70.0,4.16,0.0631,60.0,28.1
2024-08-21,31433.6,3210.4,7191.0,2956.0,0.0242,0.1433,0.0635,43.0,4.21,0.0655,65.0,15.3
2025-06-30,28482.72,3302.49,6965.0,2914.0,0.0212,0.1099,0.0704,46.0,4.36,0.0607,65.0,19.6
2024-07-28,42738.43,2791.33,7217.0,2947.0,0.0324,0.1138,0.0553,59.0,3.99,0.0745,60.0,18.4
2025-10-17,29072.01,2988.5,6955.0,2890.0,0.0239,0.1,0.0403,53.0,3.77,0.0691,62.0,13.7
2025-12-24,24267.13,2713.91,6069.0,2429.0,0.0219,0.162,0.0753,56.0,3.97,0.0677,64.0,19.8
2025-06-01,16145.02,3168.47,5757.0,2444.0,0.0149,0.0642,0.055,21.0,4.5,0.0537,62.0,29.8
2024-01-05,37100.34,2346.24,5946.0,2616.0,0.0352,0.1218,0.0699,74.0,4.08,0.0611,60.0,23.9
2024-11-29,33063.36,2567.7,7028.0,2916.0,0.0251,0.0521,0.0294,48.0,3.94,0.0687,62.0,16.5
2024-10-20,37120.73,1840.18,5305.0,2160.0,0.0395,0.1246,0.0651,60.0,3.78,0.0688,61.0,14.5
2025-04-10,36578.48,3421.26,9227.0,3732.0,0.0214,0.0787,0.0562,56.0,4.35,0.0524,63.0,30.5
2025-04-20,32073.1,3451.31,7173.0,3205.0,0.024,0.0969,0.066,61.0,4.28,0.0616,61.0,30.6
2025-05-26,26259.19,3337.4,6706.0,2780.0,0.0202,0.0535,0.0241,49.0,3.99,0.0714,62.0,26.0
2024-04-26,57569.82,3492.3,10329.0,4342.0,0.0308,0.1324,0.0615,59.0,3.87,0.0718,60.0,30.1
2024-05-11,33398.6,,5532.0,2154.0,0.0342,0.0352,0.0306,44.0,4.19,0.0726,64.0,31.4
2024-09-08,31859.66,2850.68,5407.0,1998.0,0.0318,0.1232,0.0475,55.0,3.86,0.0611,63.0,13.4
2024-01-28,36278.41,3317.88,8156.0,3261.0,0.0244,0.1214,,63.0,4.17,0.0616,59.0,27.9
2025-09-05,28989.93,3041.32,6553.0,2721.0,0.0237,0.1304,0.0589,83.0,3.82,0.0692,61.0,11.1
2025-06-18,34449.31,2760.15,6429.0,2711.0,0.0281,0.099,0.0666,69.0,3.81,0.0667,66.0,22.3
